id,text,url,processed_gpe,predicted_model,string_matches,predicted_country,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,svm,svm_1,mixtral,local_path
00114.jsonl.gz-11900562,First pictures of KTM's track car,https://www.autocar.co.uk/sites/autocar.co.uk/files/styles/gallery_slide/public/ac-1412661110171.jpg?itok=a64pikvF,pictures ktm's,,{},,no,False,no,1,1,austria,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00114.jsonl.gz-11900562.jpg
00102.jsonl.gz-17573765,Mercedes Vito Tourer / Rent a car Baku / Arenda masinlar / Аренда авто в Баку,https://carhirebaku.com/wp-content/uploads/2018/08/MercedesVitoTourer-1.jpg,Baku_Баку,sm,"{'country': 'azerbaijan', 'location': 'baku'}",azerbaijan,"zimbabwe_indonesia_ghana_nepal_congo, the democratic republic of the_azerbaijan_cameroon_china_norway_papua new guinea_united states",True,azerbaijan,1,1,azerbaijan,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00102.jsonl.gz-17573765.jpg
00071.jsonl.gz-5296763,"A car destroyed as a result of shelling attack on Barda, October 28, 2020. Photo by Aziz Karimov for the Caucasian Knot",https://www.eng.kavkaz-uzel.eu/system/uploads/article_image/image/0002/23673/preview_Barda.jpg,Barda,sm,"{'country': 'russia', 'location': 'barda'}",russia,india_mauritania_nigeria_russian federation_morocco_azerbaijan_chad,True,azerbaijan,1,1,azerbaijan,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00071.jsonl.gz-5296763.jpg
00042.jsonl.gz-16864091,People wave national flags from a car in Azerbaijan's capital Baku as they celebrate the fall of Shusha to Azeri forces,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fde241ef8-7865-4ee0-b294-6014045a3d77.jpg?fit=scale-down&source=next&width=700,Azerbaijan_Baku,sm,{'country': 'azerbaijan'},azerbaijan,"zimbabwe_indonesia_ghana_nepal_congo, the democratic republic of the_united states_cameroon_china_norway_papua new guinea_azerbaijan_iran, islamic republic of",True,azerbaijan,1,1,azerbaijan,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00042.jsonl.gz-16864091.jpg
00104.jsonl.gz-2415220,rented car on grand bahama island,https://i1.wp.com/www.iloveshelling.com/blog/wp-content/uploads/2014/05/rented-car-on-grand-bahama-island.jpg?resize=600%2C450,bahama,md,{},,sierra leone_pakistan_italy_united states,True,bahamas,1,1,bahamas,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00104.jsonl.gz-2415220.jpg
00053.jsonl.gz-8277535,SportsChest Car Seat Covers - Bahamas Car Seat Cover / Universal Fit Bahamas Car Seat Cover,https://cdn.shopify.com/s/files/1/0162/6311/8948/products/sportschest-car-seat-covers-bahamas-car-seat-cover-universal-fit-bahamas-car-seat-cover-pp-12461949-11095142170724_1024x1024.jpg?v=1560552227,sportschest covers - bahamas / bahamas,,{},,no,False,no,0,1,bahamas,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00053.jsonl.gz-8277535.jpg
00045.jsonl.gz-2460919,Benjamin Davis is president of Drive Green Car Rentals serving Nassau and surrounding resort...,https://fleetimages.bobitstudios.com/upload/auto-rental-news/content/news/2020-04/benjamin-drive-green-rentals-bahamas-__-600x300-a.jpeg,Nassau,sm,"{'country': 'united states', 'location': 'nassau'}",united states,indonesia_cuba_canada_austria_south africa_united states_bahamas_jamaica_germany,True,bahamas,1,1,bahamas,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00045.jsonl.gz-2460919.jpg
00092.jsonl.gz-2632811,2004 Ferrari Formula One F1 #1 Michael Schumacher Sakhir/Bahrain diecast model car 1:18 scale die cast by Hot Wheels - Limited Edition,http://www.idcow.net/idcow/products/hw2066_010.jpg,Bahrain,lg,{'country': 'bahrain'},bahrain,bahrain_pakistan,True,bahrain,1,1,bahrain,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00092.jsonl.gz-2632811.jpg
00021.jsonl.gz-7218960,Safety Car - Formel 1 - GP Bahrain - Sakhir - 3. April 2014ety-Car,https://imgr1.auto-motor-und-sport.de/Safety-Car-Formel-1-GP-Bahrain-Sakhir-3-April-2014ety-Car-article169GalleryThumb-e9030ce9-769243.jpg,Bahrain_Sakhir,trf,{'country': 'bahrain'},bahrain,bahrain_pakistan,True,bahrain,1,1,bahrain,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00021.jsonl.gz-7218960.jpg
00034.jsonl.gz-13331861,"Civil defense workers carry a body removed from a burned-out car to an ambulance in Mughsha, Bahrain, Saturday, April 19, 2014. Authorities in Bahrain say an...",https://i.dailymail.co.uk/i/pix/2014/04/19/article-urn:publicid:ap.org:14f4897d1c5d48a18e386b63bd52324c-6OxJbjEGGHSK2-171_634x410.jpg,Mughsha_Bahrain_Bahrain,sm,{'country': 'bahrain'},bahrain,bahrain_pakistan,True,bahrain,1,1,bahrain,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00034.jsonl.gz-13331861.jpg
00104.jsonl.gz-13007294,Toyota Corolla Altis Sedan Car Price In Bangladesh,https://www.getsview.com/wp-content/uploads/2019/07/Toyota-Corolla-Altis-Sedan-Car-Price-In-Bangladesh.jpg,Bangladesh,sm,{'country': 'bangladesh'},bangladesh,bangladesh,False,bangladesh,1,1,bangladesh,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00104.jsonl.gz-13007294.jpg
00120.jsonl.gz-2769437,Second Hand Hiace Super GL |Used Car Price In Bangladesh 2019 | Buy Second Hand Car in Carhaat |,http://i.ytimg.com/vi/72PP7LLHhCA/mqdefault.jpg,Bangladesh,sm,{'country': 'bangladesh'},bangladesh,bangladesh,False,bangladesh,1,1,bangladesh,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00120.jsonl.gz-2769437.jpg
00028.jsonl.gz-16090652,Buy Sell Cheapest Bgd Universal Start Best Quality Product Deals Alarm Mobil Push Button Engine Rfid Lock Ignitaion With Remote Keyless Entry System Black Car Stop Auto Central And,https://my-live-02.slatic.net/original/9ea51116a48dc05b6148b1f7deb3ef1d.jpg,cheapest bgd deals mobil rfid ignitaion,,{},,no,False,no,1,1,bangladesh,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00028.jsonl.gz-16090652.jpg
00084.jsonl.gz-6712511,CHEVROLET SPARK car hire in Barbados,https://www5.rentcentric.com/Client6495/images/VehicleID140spark%20copy.png,Barbados,sm,{'country': 'barbados'},barbados,brazil_barbados,True,barbados,1,1,barbados,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00084.jsonl.gz-6712511.jpg
00087.jsonl.gz-2830028,Barbados Palm Tree Island Vinyl Car Window Decal Sticker,https://www.cardecalgeek.com/wp-content/uploads/2019/04/barbados-palm-tree-island-vinyl-car-window-decal-sticker-200x200.jpg,Barbados,trf,{'country': 'barbados'},barbados,brazil_barbados,True,barbados,1,1,barbados,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00087.jsonl.gz-2830028.jpg
00079.jsonl.gz-8214684,SUZUKI CIAZ car hire in Barbados,https://www5.rentcentric.com/Client6495/images/VehicleID24720191214120928188.jpg,Barbados,sm,{'country': 'barbados'},barbados,brazil_barbados,True,barbados,1,1,barbados,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00079.jsonl.gz-8214684.jpg
00080.jsonl.gz-10253696,"GOMEL, BELARUS - May 24, 2017: the blue car is parked on the rapeseed field.",https://thumbs.dreamstime.com/m/gomel-belarus-may-blue-car-parked-rapeseed-field-94921022.jpg,GOMEL_BELARUS,trf,{},,belarus_czechia,False,belarus,1,1,belarus,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00080.jsonl.gz-10253696.jpg
00009.jsonl.gz-6225183,"People block a car carrying Uladzimir Karanik, Minister of Health of the Republic of Belarus during a rally in Minsk, Belarus, Monday, Aug. 17, 2020. Workers heckled and jeered President Alexander Lukashenko on Monday as he visited a factory and strikes grew across Belarus, raising the pressure on the authoritarian leader to step down after 26 years in power. (AP Photo/Sergei Grits)",https://static.seattletimes.com/wp-content/uploads/2020/08/urn-publicid-ap-org-d67642e432766cd663181a0ee2992cd5APTOPIX_Belarus_Protests_79551-780x520.jpg,Minsk_Belarus_Belarus,sm,"{'country': 'belarus', 'location': 'minsk'}",belarus,russian federation_belarus,True,belarus,1,1,belarus,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00009.jsonl.gz-6225183.jpg
00058.jsonl.gz-17475944,"GOMEL, BELARUS - May 24, 2017: the blue car is parked on the rapeseed field. Stock Photo",https://thumbs.dreamstime.com/t/gomel-belarus-may-blue-car-parked-rapeseed-field-94921450.jpg,GOMEL_BELARUS,trf,{},,belarus_czechia,False,belarus,1,1,belarus,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00058.jsonl.gz-17475944.jpg
00020.jsonl.gz-15928191,"Car charges at police, runs down woman, during Brussels anti-Islam protest (VIDEO)",https://cdni.rt.com/files/2016.04/original/57003795c461889e418b45e0.jpg,Brussels,sm,"{'country': 'united states', 'location': 'brussels'}",united states,belgium_canada_philippines_south africa_united states,True,belgium,1,1,belgium,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00020.jsonl.gz-15928191.jpg
00059.jsonl.gz-6747816,"The ex-Works, Moss/Wisdom, 1960 Liege-Rome-Liege Winning car For Sale (picture 1 of 6)",https://uploads.carandclassic.co.uk/uploads/cars/austin_healey/11190975.jpg,"ex-works, moss/wisdom, 1960 liege-rome-liege (picture 1 6)",,{},,no,False,no,1,1,belgium,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00059.jsonl.gz-6747816.jpg
00083.jsonl.gz-15957059,"Infiniti unveiled the Eau Rouge concept car today, attempting to make a step towards competing with the BMW and Audi of. Infiniti Q50 Red Sport, 2015 Infiniti Q50, Nissan Infiniti, Infiniti G37s, Cadillac, Mercedes Benz, G37 Sedan, Toyota, Automobile",https://i.pinimg.com/236x/ac/1e/9c/ac1e9cb9cc8e964f8344b353fd50beb7--infiniti-q-detroit.jpg,"infiniti eau today, attempting competing bmw audi of. infiniti q50 sport, 2015 infiniti q50, nissan infiniti, infiniti g37s, cadillac, benz, g37 sedan, toyota,",,{},,no,False,no,1,1,belgium,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00083.jsonl.gz-15957059.jpg
