id,text,url,processed_gpe,predicted_model,string_matches,predicted_country,mixtral,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,svm_1,local_path
00083.jsonl.gz-4777863,House for 10 people Pal Arinsal,https://img00.rhimg.com/h.7857216.235.155.0.0.wm.1f2a1a1b.jpg,10 arinsal,,"{'country': 'andorra', 'location': 'arinsal'}",andorra,andorra,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00083.jsonl.gz-4777863.jpg
00082.jsonl.gz-221641,Terraced house with spa and village views for sale in Ordino,https://images.lucasfox.com/property/4x3_460w/89B36D95A2.jpg,Ordino,trf,"{'country': 'andorra', 'location': 'ordino'}",andorra,andorra,Andorra,True,andorra,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00082.jsonl.gz-221641.jpg
00004.jsonl.gz-817353,For sale of house in Luena,https://www.inmoserver.com/fotos/0787/wm/1810_o_1f0gath0nj2o1snb2jbdh38oo1k.JPG?auto=compress&cs=tinysrgb&h=650&w=940,Luena,sm,"{'country': 'spain', 'location': 'luena'}",spain,angola,Angola,True,angola,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00004.jsonl.gz-817353.jpg
00059.jsonl.gz-1224433,For sale of house in Luena,https://www.inmoserver.com/fotos/0787/wm/1810_o_1f0gath0n8cf1m4co5j1e1djvt14.JPG?auto=compress&cs=tinysrgb&h=650&w=940,Luena,sm,"{'country': 'spain', 'location': 'luena'}",spain,angola,Angola,True,angola,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00059.jsonl.gz-1224433.jpg
00077.jsonl.gz-1482305,For sale of house in Luena,https://www.inmoserver.com/fotos/0787/wm/1942_o_1fg67r1bqo4u1ee01v8l78lpk617.JPG,Luena,sm,"{'country': 'spain', 'location': 'luena'}",spain,angola,Angola,True,angola,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00077.jsonl.gz-1482305.jpg
00086.jsonl.gz-8269673,House for sale in central Antigua,https://www.homes-in-antigua.com/images/osproperty/properties/353/medium/353_vc033_00001.jpg,Antigua,sm,"{'country': 'spain', 'location': 'antigua'}",spain,antigua and barbuda,Spain,True,antigua and barbuda,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00086.jsonl.gz-8269673.jpg
00120.jsonl.gz-14130428,"Gun Powder House, Fort Berkeley, English Harbor, Antigua",https://pilotsdiscretiondotcom.files.wordpress.com/2016/05/image21.jpeg?w=625&,Fort Berkeley_English Harbor_Antigua,sm,"{'country': 'spain', 'location': 'antigua'}",spain,antigua and barbuda,Spain_Antigua and Barbuda,True,antigua and barbuda,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00120.jsonl.gz-14130428.jpg
00004.jsonl.gz-11721443,La Casa Estate House at Jumby Bay Island : Sun Terrace,https://d363suj4pdptk4.cloudfront.net/externalApps/d28a0c14-8260-4d8d-8715-b88c10e4df59/conversion/WS-PropertyGalleryThumb/assets/44658,casa :,,{},,antigua and barbuda,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00004.jsonl.gz-11721443.jpg
00086.jsonl.gz-6854113,House - 12 km from the slopes - San Carlos de Bariloche - Hus,https://a0.muscache.com/im/pictures/3160c77b-61c6-4835-9440-341403f37a9a.jpg?aki_policy=x_medium,- 12 km slopes - bariloche - hus,,{},,argentina,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00086.jsonl.gz-6854113.jpg
00052.jsonl.gz-5490793,"""a typical house in Belgrano """"R""""- Buenos Aires- Argentina""",https://i.pinimg.com/236x/8b/21/85/8b21857493ebb4acfac145fb5b2fa82d--travel-photographer-am%C3%A9rica-latina.jpg,Belgrano_Buenos Aires-_Argentina,trf,"{'country': 'argentina', 'location': 'belgrano'}",argentina,argentina,Argentina_Mexico,True,argentina,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00052.jsonl.gz-5490793.jpg
00030.jsonl.gz-17961276,Black House by Andres Remy Arquitecto 16,http://www.myhouseidea.com/wp-content/uploads/2011/09/Black-House-by-Andres-Remy-Arquitecto-16.jpg,andres remy arquitecto 16,,"{'country': 'france', 'location': 'andres'}",france,argentina,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00030.jsonl.gz-17961276.jpg
00019.jsonl.gz-5906855,"House, 3 floors, Yerevan, Arabkir - 22",https://vivarealty.am/uploads/announcements/2019/03/19/180x150/21892-60-180x150.JPG,Yerevan_Arabkir,trf,"{'country': 'armenia', 'location': 'yerevan'}",armenia,armenia,Armenia,True,armenia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00019.jsonl.gz-5906855.jpg
00115.jsonl.gz-6093777,Guest House - Yerevan - Bed & Breakfast,https://a0.muscache.com/im/pictures/d98fc755-31ce-4dc8-ba1c-28029be51bd3.jpg?aki_policy=x_medium,Yerevan,trf,"{'country': 'armenia', 'location': 'yerevan'}",armenia,armenia,Armenia,True,armenia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00115.jsonl.gz-6093777.jpg
00048.jsonl.gz-11895207,House-for-rent-in-Yerevan,https://ararat-realty.com/images/59/8f/598f9c9b3bddd9730a60df1ec8cf1488_600x460.jpg,Yerevan,trf,"{'country': 'armenia', 'location': 'yerevan'}",armenia,armenia,Armenia,True,armenia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00048.jsonl.gz-11895207.jpg
00024.jsonl.gz-5926029,"Additional photo for property listing at Aruba Beach House San Nicolas, Aruba Aruba",http://m.sothebysrealty.com/1103i215/wh0a4gesrk1e4d6rwq042e2sr4i215,Aruba_San Nicolas_Aruba_Aruba,sm,{},,aruba,Aruba_Philippines,True,aruba,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00024.jsonl.gz-5926029.jpg
00037.jsonl.gz-10721213,"Vacation rental Aruba, Paradera, Moko Holiday house Aruba Jewel, simple elegance","https://images.micazu.nl/_images/house/20050/images/aruba_jewel__simple_elegance-1-7443.jpg?crop=0,0,1024,769&width=800&height=533&mode=crop&scale=both",Aruba_Paradera,sm,{'country': 'aruba'},aruba,aruba,Aruba,True,aruba,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00037.jsonl.gz-10721213.jpg
00084.jsonl.gz-1923199,"RE/MAX real estate, Aruba, Paradera, Vigia 28 - House For Rent",https://remaxcaribbeanandcentralamerica.azureedge.net/images/00130283165/normal/00130283165_887_283__3BIGx600.jpg,Aruba_Paradera_Vigia,sm,{'country': 'aruba'},aruba,aruba,Aruba_Brazil,True,aruba,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00084.jsonl.gz-1923199.jpg
00022.jsonl.gz-5043453,Small Picture Download Tiny House For Sale Australia Zijiapin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCxFLfnx2ieV-J1rX5QI4XnRHWuqO0-d608I-2UFtyZ-e5ScWV,Australia_Zijiapin,trf,{'country': 'australia'},australia,australia,Mexico,True,australia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00022.jsonl.gz-5043453.jpg
00100.jsonl.gz-4341423,Buderim White House Bed And Breakfast - Accommodation Port Macquarie,https://www.accommodationportmacquarie.net.au/img-central/acc/2/photo_2788_1347339938.jpg,buderim - macquarie,,"{'country': 'australia', 'location': 'port macquarie'}",australia,australia,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00100.jsonl.gz-4341423.jpg
00076.jsonl.gz-16169002,"Third view of Homely house listing, 6 Ningari  street, Sunnybank QLD 4109",https://img-2.homely.com.au/S3/l-ReNet-6957359-3.jpg?enlarge=true&format=jpeg&height=654&quality=60&query=versionId%3D5.TWZg5QHy_AczZFCHgUtWDTBK9aemH9&resizeType=cover&width=980,Sunnybank QLD 4109,sm,{},,australia,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00076.jsonl.gz-16169002.jpg
00056.jsonl.gz-7445632,"Stock Photo: Detail of Facade of Kunsthaus Art House Building at Rogner Thermal Spa and Hotel Complex Designed by Friedensreich Hundertwasser, Bad Blumau Austria.",https://previews.agefotostock.com/previewimage/medibigoff/12fc49acdf2a0b98a3534eed477b46b9/k80-883684.jpg,Austria,sm,{'country': 'austria'},austria,austria,Mexico,True,austria,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00056.jsonl.gz-7445632.jpg
00105.jsonl.gz-10707285,House for Gudrun by Innauer-Matt Architekten,https://cdn.wowowhome.com/photos/2019/11/house-for-gudrun-by-sven-matt-03-975x1500.jpg,gudrun innauer-matt architekten,,{},,austria,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00105.jsonl.gz-10707285.jpg
00127.jsonl.gz-15927918,Egon Schiele Faqade of a House (mk12) oil painting picture wholesale,http://www.chinafineart.com/upload.php?file=admin/images/new7/Egon%20Schiele-273696.jpg,egon schiele faqade (mk12),,{},,austria,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00127.jsonl.gz-15927918.jpg
00052.jsonl.gz-1969654,"Guest House on Hasan Seyidbeyli 31, Homestays  Baku - big - 11",https://q-xx.bstatic.com/xdata/images/hotel/max300/184351080.jpg?k=98d71a36b2d916275bb18256581133cecbc2d05a400c4d18566a26360b0f2ca6&o=,"seyidbeyli 31, homestays - - 11",,"{'country': 'azerbaijan', 'location': 'baku'}",azerbaijan,azerbaijan,no,False,azerbaijan,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00052.jsonl.gz-1969654.jpg
00060.jsonl.gz-11505913,The private house of the former Secretary of Health Care of Azerbaijan 14,https://englishrussia.com/images/palace_in_azerbaijan/14.jpg,azerbaijan 14,,{'country': 'azerbaijan'},azerbaijan,azerbaijan,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00060.jsonl.gz-11505913.jpg
00067.jsonl.gz-7755900,"azer38: Azerbaijan - Baku: White House, the president's office - former headquarters of Azerbaijan's communist party - Istiglaliet street - photo by Miguel Torres - (c) Travel-Images.com - Stock Photography agency - Image Bank",http://www.travel-images.com/pht/azer38.jpg,Azerbaijan,sm,{'country': 'azerbaijan'},azerbaijan,azerbaijan,"Iran, Islamic Republic of",True,azerbaijan,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00067.jsonl.gz-7755900.jpg
00045.jsonl.gz-6750448,OLD MANOR HOUSE IN ANDROS ISLAND,http://3.bp.blogspot.com/-Cr4La6RVwQg/TiZ4Ju-QQgI/AAAAAAAABPk/ULYq6O3xq5Q/s1600/1.JPG,andros,,{},,bahamas,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00045.jsonl.gz-6750448.jpg
00028.jsonl.gz-1449410,Bahama House View Acrylic Print by Anthony C Chen,https://render.fineartamerica.com/images/rendered/search/acrylic-print/metalposts/break/images/artworkimages/medium/1/bahama-house-view-anthony-c-chen.jpg,,,{},,bahamas,no,False,bahamas,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00028.jsonl.gz-1449410.jpg
00066.jsonl.gz-7678396,"Additional photo for property listing at Lagoon Beach House Autres Bahamas, Autres Régions Des Bahamas Bahamas",http://m.sothebysrealty.com/1103i215/aehqpqrc5emd48yzmmzar42tn3i215,Bahamas_Bahamas,sm,{},,bahamas,Uruguay,True,bahamas,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00066.jsonl.gz-7678396.jpg
00094.jsonl.gz-1972421,"House of Architectural Heritage in Muharraq, Bahrai by Leopold Banchini Architects | Yellowtrace",https://i2.wp.com/assets.yellowtrace.com.au/wp-content/uploads/2019/02/House-of-Architectural-Heritage-in-Muharraq-Bahrai-by-Leopold-Banchini-Architects-Yellowtrace-02.jpg?resize=311%2C233,Muharraq,sm,"{'country': 'bahrain', 'location': 'muharraq'}",bahrain,bahrain,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00094.jsonl.gz-1972421.jpg
00021.jsonl.gz-13321001,"A stairway leads to the roof from a carved wooden door of the restored Shaikh Salman house in Muharraq, Bahrain. The door is typical of traditional Arabian Gulf architecture.",https://photos.smugmug.com/Stock/i-P7cwk9g/0/fc6a53ef/S/DSC_0167-S.jpg,Muharraq_Bahrain,sm,"{'country': 'bahrain', 'location': 'muharraq'}",bahrain,bahrain,Bahrain,True,bahrain,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00021.jsonl.gz-13321001.jpg
00036.jsonl.gz-14652616,Bahrain's The Merchant House launches staycation offer,https://www.timeoutbahrain.com/public/styles/landscape_md/public/images/2020/06/04/merchant_house_bahrain.jpg?itok=wUVEu-T_,Bahrain,sm,{'country': 'bahrain'},bahrain,bahrain,Bahrain,True,bahrain,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00036.jsonl.gz-14652616.jpg
00063.jsonl.gz-4872031,Guest house at Somra bazar,https://weekenddestinations.info/wp-content/uploads/2016/11/somrabazar-room-1-300x200.jpg,somra bazar,,"{'country': 'ukraine', 'location': 'bazar'}",ukraine,bangladesh,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00063.jsonl.gz-4872031.jpg
00051.jsonl.gz-5399443,modern house plans with pictures in bangladesh u2013 modern house,http://t3.gstatic.com/images?q=tbn:ANd9GcTQlT8sJ2nD65u9SpHoKbWaOnwCobCR5LYMVXKQ6gkoLA3F-caa,bangladesh,trf,{'country': 'bangladesh'},bangladesh,bangladesh,Bangladesh,True,bangladesh,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00051.jsonl.gz-5399443.jpg
00071.jsonl.gz-9233688,"Flat rent in Dhaka বনানী, House 11A, Road 4, Banani Old DOHS",https://baribodol.com/images/postimg/601544639bc5b.jpg,Dhaka,sm,"{'country': 'india', 'location': 'dhaka'}",india,bangladesh,Bangladesh,True,bangladesh,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00071.jsonl.gz-9233688.jpg
00064.jsonl.gz-11716169,Highly Inviting Fustic House Private Estate in Barbados (27),https://www.familyholiday.net/wp-content/uploads/2016/03/Highly-Inviting-Fustic-House-Private-Estate-in-Barbados-27.jpg,Barbados,sm,{'country': 'barbados'},barbados,barbados,Barbados,True,barbados,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00064.jsonl.gz-11716169.jpg
00075.jsonl.gz-7367923,lounge-the-house-elegant-hotels-barbados-beach-hotels,https://www.beach.com/wp-content/uploads/2019/02/high-res-Living-Room_.jpg,lounge-the-house-elegant-hotels-barbados-beach-hotels,,{},,barbados,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00075.jsonl.gz-7367923.jpg
00100.jsonl.gz-412951,"Thumbnail Detached house for sale in Heywoods, St Peter, Barbados",https://lid.zoocdn.com/354/255/841e4be4b57f7d3230d23c4ec38513768cb01e19.jpg,Heywoods,sm,{},,barbados,Barbados,True,barbados,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00100.jsonl.gz-412951.jpg
00126.jsonl.gz-4745496,"Проект дома R6, S=163,08 м2. Купить в Минске ǀ РуВитСтрой Modern House Plans, Floor Plans, How To Plan, Houses, Modern Home Plans, Floor Plan Drawing, House Floor Plans",https://i.pinimg.com/236x/7b/2f/5a/7b2f5a41487ab4853bbd63b94adbd3fd.jpg,"проект дома r6, s=163,08 м2. купить в минске ǀ рувитстрой plans, plans, plan, houses, plans, drawing, plans",,{},,belarus,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00126.jsonl.gz-4745496.jpg
00108.jsonl.gz-10171924,"neighbour house: st. Mikhalevich, house 82. Apartment house",https://vsedomarossii.ru/photos/area_50/city_2252/street_3511/082_1_200.jpg,"neighbour house: st. mikhalevich, 82.",,{},,belarus,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00108.jsonl.gz-10171924.jpg
00074.jsonl.gz-5950397,Starry House (free3yourmind) Tags: stars starry house grass nature milky way night sky nightsky dark skies fireplace smoke cottage braslav braslaw belarus,https://farm1.static.flickr.com/980/40977897744_1abc512db1_m.jpg,(free3yourmind) tags: stars nightsky braslav braslaw belarus,,{},,belarus,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00074.jsonl.gz-5950397.jpg
00045.jsonl.gz-11771305,"Belgard's Cambridge Cobble paver makes a beautiful pathway through this scenic landscape. Backyard Pavers, Fence Landscaping, House Yard Design, Cambridge Pavers, Outside Living, Walkways, Color Combinations, Things To Come, Landscape",https://i.pinimg.com/236x/ae/ec/bb/aeecbbc57b2488f55c68555c8b172112--backyard-pavers-patio.jpg,Cambridge,sm,"{'country': 'united states', 'location': 'cambridge'}",united states,belgium,United Kingdom,True,belgium,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00045.jsonl.gz-11771305.jpg
00116.jsonl.gz-6019426,"Private house, Heverlee (Belgium) by Comodo architecten ...",https://i.pinimg.com/originals/6c/9d/c2/6c9dc28e07e3b2a2027e8006198d5265.jpg,Heverlee_Belgium,sm,{'country': 'belgium'},belgium,belgium,Belgium_United States,True,belgium,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00116.jsonl.gz-6019426.jpg
00078.jsonl.gz-2928203,"Tiny Housing in Belgium, creative living smallscale ecological tiny house design interior design environmental architecture how to before after",https://i.pinimg.com/236x/8e/d6/bb/8ed6bbc5113f3909938916e6e1f13b24.jpg,Belgium,sm,{'country': 'belgium'},belgium,belgium,United States,True,belgium,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00078.jsonl.gz-2928203.jpg
00091.jsonl.gz-113803,"Bella Sombra Kings Park Guest House - Bella Sombra Kings Park ONLY $45USD pp, Plus Free Internet - Belize City - rentals",https://tap2.fkimg.com/media/vr-splice-j/00/20/61/5b.jpg,Belize City,trf,"{'country': 'belize', 'location': 'belize city'}",belize,belize,Belize,True,belize,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00091.jsonl.gz-113803.jpg
00043.jsonl.gz-11742897,Bote House Belize,https://backwaterflyfishing.files.wordpress.com/2019/08/boner1.jpg?w=393&h=262,belize,,{'country': 'belize'},belize,belize,no,False,belize,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00043.jsonl.gz-11742897.jpg
00052.jsonl.gz-11460468,The Tiny Houses Of Belize House Blog,https://tinyhouseblog.com/wp-content/uploads/2013/05/julias-cabanas.jpg,houses belize blog,,{'country': 'belize'},belize,belize,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00052.jsonl.gz-11460468.jpg
00092.jsonl.gz-756961,"Boat and house in a fishing village in Cotonou, Benin",https://photos.smugmug.com/Africa/Benin/Cotonou-2014/i-XSqVzHN/0/S/GMA_6894-S.jpg,Cotonou,sm,"{'country': 'benin', 'location': 'cotonou'}",benin,benin,Benin,True,benin,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00092.jsonl.gz-756961.jpg
00095.jsonl.gz-13902519,Boukoumbé Benin December 20 2014 Tammari woman feeds ducks in front of her mud house,https://image.shutterstock.com/image-photo/benin-december-20-2014-tammari-260nw-783791497.jpg,Tammari,trf,{'country': 'benin'},benin,benin,Sudan,True,sudan,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00095.jsonl.gz-13902519.jpg
00060.jsonl.gz-14616669,"House and boat in fishing village in Cotonou, Benin",https://photos.smugmug.com/Africa/Benin/Cotonou-2014/i-ZdGp59z/0/5ebec386/X2/GMA_6893-X2.jpg,Cotonou,sm,"{'country': 'benin', 'location': 'cotonou'}",benin,benin,Benin,True,benin,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00060.jsonl.gz-14616669.jpg
00115.jsonl.gz-14259635,Guide house at Rural Bhutan where fake tiger was used as guiding Scarecrow  #1597648894,https://image.shutterstock.com/image-photo/image-450w-1597648894.jpg,bhutan guiding #1597648894,,{'country': 'bhutan'},bhutan,bhutan,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00115.jsonl.gz-14259635.jpg
00086.jsonl.gz-4951105,"The 16th century Ugyencholing Palace, an ancient manor house turned local museum in central Bhutan",https://www.geoex.com/app/uploads/2019/08/gallery-bhutan-tang-valley-ugyencholing-palace.jpg,Bhutan,sm,{'country': 'bhutan'},bhutan,bhutan,South Africa,True,bhutan,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00086.jsonl.gz-4951105.jpg
00107.jsonl.gz-16495168,"Village House and Rice Terraces in Metshina Village, Bhutan Photographic Print by Keren Su",http://cache2.allpostersimages.com/p/MED/64/6420/V3M9100Z/posters/keren-su-village-house-and-rice-terraces-in-metshina-village-bhutan.jpg,Metshina Village,sm,{},,bhutan,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00107.jsonl.gz-16495168.jpg
00026.jsonl.gz-2991530,"Abandoned mansion that used to belong to Machicado family, now a house, Comanche, La Paz Department, Bolivia",https://d3e1m60ptf1oym.cloudfront.net/a8f718cc-aa7d-41e6-a84b-d11b7f62e39b/Comanche2014D1_bigthumb.jpg,Bolivia,sm,{'country': 'bolivia'},bolivia,bolivia,United States,True,bolivia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00026.jsonl.gz-2991530.jpg
00084.jsonl.gz-6028882,Sucre House,https://avatars.mds.yandex.net/get-entity_search/61037/107726670/S200x200,,,{},,bolivia,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00084.jsonl.gz-6028882.jpg
00099.jsonl.gz-8096176,Abandoned clay house in Bolivian Altiplano Royalty Free Stock Image,https://thumbs.dreamstime.com/m/abandoned-clay-house-bolivian-altiplano-37530186.jpg,Bolivian Altiplano,trf,{},,bolivia,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00099.jsonl.gz-8096176.jpg
