id,text,url,mixtral,processed_gpe,predicted_model,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,svm_1,local_path
00016.jsonl.gz-7628009,"Austria, toilet of a person with hoarding disorder - DIS000332",https://images1.westend61.de/0000310151l/austria-toilet-of-a-person-with-hoarding-disorder-DIS000332.jpg,austria,Austria,sm,philippines_mexico_greece_austria,True,austria,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00016.jsonl.gz-7628009.jpg
00047.jsonl.gz-10014216,Elegant Toilet Design at Elegant Home Design With Minimalist - badezimmer fliesen amp ouml sterreich,https://i.pinimg.com/originals/3a/72/18/3a7218d3eec761da908268a62c4aad68.jpg,austria,- badezimmer fliesen amp ouml sterreich,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00047.jsonl.gz-10014216.jpg
00007.jsonl.gz-5910471,"Apartment in Baku_A on Behance Washroom Design, Bathroom Tile Designs, Toilet Design, Bathroom Design Luxury, Modern Bathroom Design, Bath Design, Bathroom Design Inspiration, Apartment Interior Design, Studio Interior",https://i.pinimg.com/236x/ea/55/9a/ea559a79274f2f5825f1b3f8ec7ce910.jpg,azerbaijan,Baku_A,sm,"azerbaijan_united states_ghana_congo, the democratic republic of the_china_indonesia_cameroon_papua new guinea_zimbabwe_norway_nepal",True,azerbaijan,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00007.jsonl.gz-5910471.jpg
00040.jsonl.gz-2934920,"Apartment in Baku_A on Behance Minimalist Bathroom Design, Bathroom Design Luxury, Modern Bathroom Design, Modern Interior Design, Minimalist Small Bathrooms, Powder Room Design, Toilet Design, Dream Bathrooms, Home Decor Bedroom",https://i.pinimg.com/236x/6c/6d/58/6c6d58acea762788bb0669d9eac4c1ec.jpg,azerbaijan,Baku_A_Dream Bathrooms,sm,"azerbaijan_united states_ghana_congo, the democratic republic of the_china_indonesia_cameroon_papua new guinea_zimbabwe_norway_nepal",True,azerbaijan,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00040.jsonl.gz-2934920.jpg
00108.jsonl.gz-17968776,"Toilet troubles: This is a picture of the toilet facilities at the 'luxury' Fyre Festival in the Bahamas. Some guests paid up toguests who paid $13,000 to soak up the festival experience",https://i.dailymail.co.uk/i/pix/2017/04/28/19/3FB47E6C00000578-4454690-image-a-13_1493404243342.jpg,bahamas,Bahamas,sm,bahamas_spain_brazil_uruguay,True,bahamas,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00108.jsonl.gz-17968776.jpg
00116.jsonl.gz-5991731,"A toilet stands amid the rubble of what was once a home after it was destroyed by Hurricane Dorian one week ago in Pelican Point, Grand Bahama, Bahamas, Sunday, Sept. 8, 2019. The toll from the storm in the Bahamas stood at 44 Monday but officials have warned that the number of deaths is likely to rise as security forces and other teams search devastated areas of the northern Bahamas.","https://www.gannett-cdn.com/presto/2019/09/11/PDTN/4a4aa834-4059-44f6-b006-658fca43e6aa-AP19252646962239.jpg?crop=1024,671,x0,y0&width=540&height=&fit=bounds&auto=webp",bahamas,Pelican Point_Grand Bahama_Bahamas_Bahamas_Bahamas,sm,"antigua and barbuda_united states_canada_spain_turks and caicos islands_bahamas_australia_uruguay_virgin islands, british_brazil_cameroon",True,bahamas,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00116.jsonl.gz-5991731.jpg
00001.jsonl.gz-14212331,"Toilet troubles: This is a picture of the toilet facilities at the 'luxury' Fyre Festival in the Bahamas. Some guests paid up to guests who paid £10,000 to soak up the festival experience",https://i.dailymail.co.uk/i/pix/2017/04/29/22/3FB47E6C00000578-4457252-Toilet_troubles_This_is_a_picture_of_the_toilet_facilities_at_th-a-30_1493501690459.jpg,bahamas,Bahamas,sm,bahamas_spain_brazil_uruguay,True,bahamas,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00001.jsonl.gz-14212331.jpg
00056.jsonl.gz-15268911,Nazma learning about the new toilet facilities with volunteer Habiba,https://www.wateraid.org/uk/sites/g/files/jkxoof211/files/what-wateraid-does-in-bangladesh-public-toilets.jpg,bangladesh,nazma facilities habiba,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00056.jsonl.gz-15268911.jpg
00121.jsonl.gz-11105909,BANGLADESH PRICE FOR SANITARY WARE CORNER TOILET LOWES COMMODE,http://sc01.alicdn.com/kf/HTB1_fDMNVXXXXXoXVXXq6xXFXXX8/BANGLADESH-PRICE-FOR-SANITARY-WARE-CORNER-TOILET.jpg_200x200.jpg,bangladesh,BANGLADESH,trf,bangladesh,False,bangladesh,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00121.jsonl.gz-11105909.jpg
00024.jsonl.gz-2569384,Tk-House (toilet),https://cdn.suvaco.jp/rooms/47400/MwufkTHMGP-260x260.jpg,bangladesh,tk-house (toilet),,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00024.jsonl.gz-2569384.jpg
00112.jsonl.gz-4746658,composting-toilet-barbados.jpg,https://barbadosfreepress.files.wordpress.com/2006/11/composting-toilet-barbados.jpg?w=500,barbados,composting-toilet-barbados.jpg,md,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00112.jsonl.gz-4746658.jpg
00037.jsonl.gz-14780664,Child Family Toilet Seat Childcare Baby Gear Barbados Cyphoma,https://a.cyphoma.net/uploads/image_uploader/2018/11/22/20/5bf6fe8028e8c0600318cc51/big_5bf6fe8028e8c0600318cc51.jpg,barbados,childcare cyphoma,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00037.jsonl.gz-14780664.jpg
00042.jsonl.gz-14482050,Toilet and sink area in a suite at The Colony Club hotel in Barbados,https://4.bp.blogspot.com/-cbLQcnITAVg/WtxmDaNzjsI/AAAAAAAAKnQ/iBfP1NzuL1gvulUZFuTVkKH3uzrUbKtqACLcBGAs/s1600/Colony-Club-Elegant-Hotels-Barbados-0001.jpg,barbados,Barbados,sm,brazil_barbados,True,barbados,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00042.jsonl.gz-14482050.jpg
00000.jsonl.gz-7052523,Minsk apartment by I-project bathroom toilet,https://cdn.homedit.com/wp-content/uploads/2016/07/Minsk-apartment-by-I-project-bathroom-toilet.jpg,belarus,Minsk,sm,belarus_russian federation,True,belarus,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00000.jsonl.gz-7052523.jpg
00014.jsonl.gz-13488416,Victory Square toilet by Chuck Ansbacher,https://onlymagazine.ca/images/550.png,belarus,ansbacher,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00014.jsonl.gz-13488416.jpg
00023.jsonl.gz-14927352,"MINSK, BELARUS - JANUARY, 2019: full seamless spherical panorama 360 degrees angle view in interior bathroom restroom in modern public toilet for people with disabilities in equirectangular projection",https://image.shutterstock.com/image-photo/minsk-belarus-january-2019-full-260nw-1328704580.jpg,belarus,MINSK_BELARUS,trf,belarus_russian federation,True,belarus,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00023.jsonl.gz-14927352.jpg
00070.jsonl.gz-17476758,Toilet Photograph - My Private Toilet... by Gilbert Claes,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/my-private-toilet-gilbert-claes.jpg,belgium,- toilet... claes,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00070.jsonl.gz-17476758.jpg
00039.jsonl.gz-1206920,"Toilet in the back, individual towels to dry one's hands, love that!, Brugsche Tafel, Bruges",https://brugesvegan.files.wordpress.com/2018/01/brugschetafel13.jpg?w=329&,belgium,Bruges,trf,mozambique_france,True,belgium,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00039.jsonl.gz-1206920.jpg
00017.jsonl.gz-969099,"toilet at Mosquito Coast, Ghent, clean and tidy",https://brugesvegan.files.wordpress.com/2016/11/mosquitocoast13.jpg?w=641&,belgium,Ghent,trf,united states_belgium,True,belgium,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00017.jsonl.gz-969099.jpg
00044.jsonl.gz-16504687,"Long Caye Resort:                   Composting Toilet: 1 for liquids, 1 for solids!",https://media-cdn.tripadvisor.com/media/photo-s/03/82/18/5c/long-caye-resort.jpg,belize,"caye resort: composting toilet: 1 liquids, 1 solids!",,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00044.jsonl.gz-16504687.jpg
00055.jsonl.gz-17178472,Comllen Fresh Water Non Electric Mechanical Bidet Attachment Toilet Seat Attachment Buy Online In Belize Comllen Products In Belize See Prices Reviews And Free Delivery Over Bz 140 Desertcart,https://m.media-amazon.com/images/I/31keXGKQK4L.jpg,belize,Belize_Belize,trf,"belize_bolivia, plurinational state of_angola",True,belize,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00055.jsonl.gz-17178472.jpg
00076.jsonl.gz-14364483,"hotel--toilet of salt hotel Salar de Uyuni, Potosi Department, Bolivia, South America",http://www.hat.net/album/south_america/2009_salar/_inc/tn/bolivia.uyuni.20091018121748_hotel--toilet_of_salt_hotel-tn.jpg,bolivia,Bolivia,sm,"cuba_united states_mexico_colombia_bolivia, plurinational state of_south africa_venezuela, bolivarian republic of_nicaragua_australia_bonaire, sint eustatius and saba_costa rica_guatemala_brazil",True,bolivia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00076.jsonl.gz-14364483.jpg
00075.jsonl.gz-6874646,Toilet in the jungle #jacjcuisi #bolivia #warayassi #southamerica #travel #wildlife,https://64.media.tumblr.com/605bc9be03c7737b8dca089cc13f6368/tumblr_mjaseq16TQ1rwrxb4o1_250.jpg,bolivia,bolivia,trf,"cuba_united states_mexico_colombia_bolivia, plurinational state of_south africa_venezuela, bolivarian republic of_nicaragua_australia_bonaire, sint eustatius and saba_costa rica_guatemala_brazil",True,bolivia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00075.jsonl.gz-6874646.jpg
00031.jsonl.gz-4214816,"Bolivia hot sale sanitary ware one piece siphonic toilet stock $32, end of year top quality cheapest price, 20 days valid",http://sc01.alicdn.com/kf/HTB1tQcGKVXXXXa5aXXXq6xXFXXXF/Bolivia-hot-sale-sanitary-ware-one-piece.jpg_200x200.jpg,bolivia,Bolivia,sm,"cuba_united states_mexico_colombia_bolivia, plurinational state of_south africa_venezuela, bolivarian republic of_nicaragua_australia_bonaire, sint eustatius and saba_costa rica_guatemala_brazil",True,bolivia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00031.jsonl.gz-4214816.jpg
00096.jsonl.gz-10097725,The Balkan Backpacker: Spacious shower and toilet (2),https://media-cdn.tripadvisor.com/media/photo-s/04/1f/27/0b/spacious-shower-and-toilet.jpg,bosnia and herzegovina,backpacker: (2),,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00096.jsonl.gz-10097725.jpg
00064.jsonl.gz-6223223,"Josip Broz Tito's private toilet is seen in his underground secret bunker (ARK) in Konjic, October 16, 2014. (Photo by Dado Ruvic/Reuters)",https://pix.avax.news/avaxnews/22/c1/0001c122_medium.jpeg,bosnia and herzegovina,Konjic,sm,montenegro_bosnia and herzegovina_serbia,True,bosnia and herzegovina,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00064.jsonl.gz-6223223.jpg
00054.jsonl.gz-12853763,The Balkan Backpacker: Spacious shower and toilet,https://media-cdn.tripadvisor.com/media/photo-s/04/1f/27/0a/spacious-shower-and-toilet.jpg,bosnia and herzegovina,backpacker:,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00054.jsonl.gz-12853763.jpg
00096.jsonl.gz-9555256,Wilderness Safaris Xigera Camp: Toilet room,https://media-cdn.tripadvisor.com/media/photo-s/02/bb/2d/62/xigera-camp.jpg,botswana,safaris xigera camp:,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00096.jsonl.gz-9555256.jpg
00083.jsonl.gz-6935656,skybeds khwai reserve toilet,https://safarifrank.com/wp-content/uploads/2018/10/skybeds-khwai-reserve-toilet-300x200.jpg,botswana,skybeds khwai,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00083.jsonl.gz-6935656.jpg
00091.jsonl.gz-4207406,Khwai Tented Camp toilet,http://moremisafaris.co.za/uploaded_files/gallery-images/thumb_637479931.jpg,botswana,khwai,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00091.jsonl.gz-4207406.jpg
00038.jsonl.gz-9200029,IBAMA Non-Electric Mechanical Water Toilet Seat Attachable Bidet- Dual Nozzle,http://india.ecvv.com/image/cache/catalog/Bathroom-Accessories/IB-BIDET01/IB-BIDET01-003-460x460.jpg,brazil,ibama non-electric bidet-,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00038.jsonl.gz-9200029.jpg
00045.jsonl.gz-5087139,IBAMA R Shape Toilet Safety Frame Rail Shower Grab Bar for Home and Hotel(Stainless Steel Coated With White Nylon) - Rail Style Grab,https://images-na.ssl-images-amazon.com/images/I/51dOLxgNPgL.jpg,brazil,ibama hotel(stainless nylon) -,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00045.jsonl.gz-5087139.jpg
00113.jsonl.gz-11729739,Pousada Saint Germain: Toilet of standard room which needs updating,https://media-cdn.tripadvisor.com/media/photo-s/01/c4/de/83/toilet-of-standard-room.jpg,brazil,pousada germain: updating,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00113.jsonl.gz-11729739.jpg
00124.jsonl.gz-15605301,Toilet section of Sultan of Brunei's most expensive private jets,https://justrichest.com/wp-content/uploads/Sultan-Hassanals-private-jet.jpg,brunei,Sultan of Brunei's,sm,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00124.jsonl.gz-15605301.jpg
00040.jsonl.gz-5903098,Travelbay Customer Reviews - Brunei Tours - Bandar Seri Begawan Toilet BSB,https://cdn.shopify.com/s/files/1/0823/6455/files/Travelbay_Customer_Reviews_-_Brunei_Tours_-_Bandar_Seri_Begawan_Toilet_BSB_large.png?v=1535863245,brunei,travelbay reviews - brunei tours - begawan bsb,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00040.jsonl.gz-5903098.jpg
00055.jsonl.gz-13278818,The Brunei Hotel: Toilet,https://media-cdn.tripadvisor.com/media/photo-s/05/2f/9c/b1/the-brunei-hotel.jpg,brunei,brunei hotel:,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00055.jsonl.gz-13278818.jpg
00126.jsonl.gz-8681105,Hotel Car Samuil: Leaking and dirty toilet,https://media-cdn.tripadvisor.com/media/photo-s/07/4a/d2/6e/leaking-and-dirty-toilet.jpg,bulgaria,samuil: leaking,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00126.jsonl.gz-8681105.jpg
00000.jsonl.gz-1666541,Copper Grove Radnevo Over-toilet Bathroom Storage Cabinet with 2 Doors,https://ak1.ostkcdn.com/images/products/26386313/P31665535.jpg,bulgaria,Copper Grove Radnevo,lg,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00000.jsonl.gz-1666541.jpg
00026.jsonl.gz-2955238,Pension-sofia-triple-room-toilet -,https://pension-sofia.gr/wp-content/grand-media/image/pension-sofia-triple-room-toilet_-.jpg,bulgaria,pension-sofia-triple-room-toilet -,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00026.jsonl.gz-2955238.jpg
00086.jsonl.gz-9068880,hot sale cambodia 12mm Grey phenolic sheet toilet partitions high quality public bathroom cubicles accessories,https://img.buildmost.com/image/20201207/e00c0f0b-74e5-4a77-adca-4edfa24abfd3.jpg,cambodia,cambodia,md,cambodia_angola,True,cambodia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00086.jsonl.gz-9068880.jpg
00125.jsonl.gz-917172,Toilet and Bath at Angkor Tropical Resort in Siem Reap,https://farm8.staticflickr.com/7623/16724782976_7c13d481c0_o.jpg,cambodia,Siem Reap,trf,cambodia,False,cambodia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00125.jsonl.gz-917172.jpg
00032.jsonl.gz-14134320,"The 240 Hotel, Phnom Penh -  Toilet",https://photos.smugmug.com/Cambodia/The-240-Hotel-Phnom-Penh/i-NdWzfGx/0/38185737/S/CA_09231213101492-S.jpg,cambodia,Phnom Penh -  ,sm,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00032.jsonl.gz-14134320.jpg
00076.jsonl.gz-971501,"Trendy 3/4 multicolored tile and subway tile black floor bathroom photo in Toronto with shaker cabinets, medium tone wood cabinets, a one-piece toilet, white walls and a console sink",https://st.hzcdn.com/simgs/pictures/bathrooms/mechanic-ave-bathroom-boadwin-house-contracting-img~b3e1ca0b0a2306ad_9-2826-1-df77a5d.jpg,canada,Toronto,sm,"canada_united states_cuba_tanzania, united republic of_türkiye_south africa_australia_united kingdom_philippines_colombia_zimbabwe",True,canada,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00076.jsonl.gz-971501.jpg
00042.jsonl.gz-4109949,Commode Chair Walmart Canada Over The Toilet Storage Walmart Canada Bathroom Trends 2017 2018,http://t0.gstatic.com/images?q=tbn:ANd9GcTY-8bppEdP0GrJGnZHioiktJrQrxkgjxv7mw3Wy6dzOg74cc-a,canada,Canada,trf,canada_spain_italy_mexico_united states_brazil_portugal_guam_south africa_guadeloupe_belgium_paraguay_saint kitts and nevis_united kingdom_france_zimbabwe,True,canada,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00042.jsonl.gz-4109949.jpg
00018.jsonl.gz-6495448,"Our hour emergency plumbers Etobicoke are available round-the-clock. We provide best certified plumbers in the city of Etobicoke. Bathtub Drain Stopper, Water Heater Installation, Clogged Toilet, Clogged Drains, Drain Repair, Plumbing Companies, Plumbing Emergency, Plumbing Problems, Clawfoot Bathtub",https://i.pinimg.com/236x/7d/6c/06/7d6c06baa75707c3dac60ae65106125a--residential-plumbing-plumbing-problems.jpg,canada,Etobicoke_Etobicoke,trf,canada,False,canada,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00018.jsonl.gz-6495448.jpg
00124.jsonl.gz-5098128,Hotel Santiago: Bath area separate from the toilet!,https://media-cdn.tripadvisor.com/media/photo-s/05/ee/6d/3c/bath-area-separate-from.jpg,chile,santiago: toilet!,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00124.jsonl.gz-5098128.jpg
00056.jsonl.gz-1312360,Chile Hot Sale American Standard Bathroom Sanitary Wc Toilet,http://sc01.alicdn.com/kf/HTB1Cs23o4WYBuNjy1zkq6xGGpXad/Chile-Hot-Sale-American-Standard-Bathroom-Sanitary.jpg_200x200.jpg,chile,wc,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00056.jsonl.gz-1312360.jpg
00017.jsonl.gz-4832242,Chile market hot sale best price siphon water saving siphon toilet,http://sc02.alicdn.com/kf/HTB16NHEKpXXXXa6XFXXq6xXFXXXp/Chile-market-hot-sale-best-price-siphon.jpg_220x220.jpg,chile,Chile,sm,"guinea-bissau_cuba_mexico_colombia_china_peru_venezuela, bolivarian republic of_honduras_chile_costa rica_nigeria_brazil_kyrgyzstan",True,chile,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00017.jsonl.gz-4832242.jpg
00035.jsonl.gz-13567751,China manufacturer wc high efficiency toilet one pices toilet room design,http://sc02.alicdn.com/kf/HTB1ASBgRFXXXXc.XVXXq6xXFXXX2/China-manufacturer-wc-high-efficiency-toilet-one.jpg,china,China,sm,"united states_tanzania, united republic of_malawi_peru_mozambique_nepal_ghana_angola_chile_philippines_zambia_brazil_russian federation_cuba_taiwan_china_pakistan_nigeria_mexico_japan",True,china,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00035.jsonl.gz-13567751.jpg
00110.jsonl.gz-15396551,Image result for toilet in china,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSntw687uK_hzXHhXna4uQRhjPdcTFBOQrMgQiQVT6XstmViGiJ,china,china,sm,"united states_tanzania, united republic of_malawi_peru_mozambique_nepal_ghana_angola_chile_philippines_zambia_brazil_russian federation_cuba_taiwan_china_pakistan_nigeria_mexico_japan",True,china,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00110.jsonl.gz-15396551.jpg
